"id","lp_name","root","octave","root_fret","min_fret","bass_string","notes","frets","semitones","fretboard","open"
"M","a,:5","a",2,0,0,5,"a,eac#'e'","xo222o","NA, 5, 12, 17, 21, 24","x;o;2;2;2;o;",TRUE
"M","a,:5","a",2,0,0,5,"a,ead_'e'","xo222o","NA, 5, 12, 17, 21, 24","x;o;2;2;2;o;",TRUE
"m","a,:m","a",2,0,0,5,"a,eac'e'","xo221o","NA, 5, 12, 17, 20, 24","x;o;2;2;1;o;",TRUE
"7","a,:7","a",2,0,0,5,"a,egc#'e'","xo2o2o","NA, 5, 12, 15, 21, 24","x;o;2;o;2;o;",TRUE
"7","a,:7","a",2,0,0,5,"a,egd_'e'","xo2o2o","NA, 5, 12, 15, 21, 24","x;o;2;o;2;o;",TRUE
"M7","a,:maj7","a",2,0,0,5,"a,eg#c#'e'","xo212o","NA, 5, 12, 16, 21, 24","x;o;2;1;2;o;",TRUE
"M7","a,:maj7","a",2,0,0,5,"a,ea_d_'e'","xo212o","NA, 5, 12, 16, 21, 24","x;o;2;1;2;o;",TRUE
"m7","a,:m7","a",2,0,0,5,"a,egc'e'","xo2o1o","NA, 5, 12, 15, 20, 24","x;o;2;o;1;o;",TRUE
"sus2","a,:sus2","a",2,0,0,5,"a,eabe'","xo22oo","NA, 5, 12, 17, 19, 24","x;o;2;2;o;o;",TRUE
"sus4","a,:sus4","a",2,0,0,5,"a,ead'e'","xo223o","NA, 5, 12, 17, 22, 24","x;o;2;2;3;o;",TRUE
"sus4","a,:sus4","a",2,0,0,5,"a,ead'","xo223x","NA, 5, 12, 17, 22, NA","x;o;2;2;3;x;",TRUE
"dim","a,:dim","a",2,0,0,5,"a,d#ac'","xo121x","NA, 5, 11, 17, 20, NA","x;o;1;2;1;x;",TRUE
"dim","a,:dim","a",2,0,0,5,"a,e_ac'","xo121x","NA, 5, 11, 17, 20, NA","x;o;1;2;1;x;",TRUE
"7_5","a,:7_5","a",2,0,0,5,"a,d#gc#'","xo1o2x","NA, 5, 11, 15, 21, NA","x;o;1;o;2;x;",TRUE
"7_5","a,:7_5","a",2,0,0,5,"a,e_gd_'","xo1o2x","NA, 5, 11, 15, 21, NA","x;o;1;o;2;x;",TRUE
"7#5","a,:7.5+","a",2,0,0,5,"a,fgc#'","xo3o2x","NA, 5, 13, 15, 21, NA","x;o;3;o;2;x;",TRUE
"7#5","a,:7.5+","a",2,0,0,5,"a,fgd_'","xo3o2x","NA, 5, 13, 15, 21, NA","x;o;3;o;2;x;",TRUE
"M7_5","a,:maj7_5","a",2,0,0,5,"a,d#g#c#'","xo112x","NA, 5, 11, 16, 21, NA","x;o;1;1;2;x;",TRUE
"M7_5","a,:maj7_5","a",2,0,0,5,"a,e_a_d_'","xo112x","NA, 5, 11, 16, 21, NA","x;o;1;1;2;x;",TRUE
"M7#5","a,:maj7.5+","a",2,0,0,5,"a,fg#c#'","xo312x","NA, 5, 13, 16, 21, NA","x;o;3;1;2;x;",TRUE
"M7#5","a,:maj7.5+","a",2,0,0,5,"a,fa_d_'","xo312x","NA, 5, 13, 16, 21, NA","x;o;3;1;2;x;",TRUE
"m7_5","a,:m7_5","a",2,0,0,5,"a,d#gc'","xo1o1x","NA, 5, 11, 15, 20, NA","x;o;1;o;1;x;",TRUE
"m7_5","a,:m7_5","a",2,0,0,5,"a,e_gc'","xo1o1x","NA, 5, 11, 15, 20, NA","x;o;1;o;1;x;",TRUE
"m7#5","a,:m7.5+","a",2,0,0,5,"a,fgc'","xo3o1x","NA, 5, 13, 15, 20, NA","x;o;3;o;1;x;",TRUE
"add9","a,:5.9","a",2,0,0,5,"a,ebc#'","xo242x","NA, 5, 12, 19, 21, NA","x;o;2;4;2;x;",TRUE
"add9","a,:5.9","a",2,0,0,5,"a,ebd_'","xo242x","NA, 5, 12, 19, 21, NA","x;o;2;4;2;x;",TRUE
"9sus4","a,:9sus4","a",2,0,0,5,"a,dgbe'","xooooo","NA, 5, 10, 15, 19, 24","x;o;o;o;o;o;",TRUE
"add2","a,:5.2","a",2,0,0,5,"a,ebc#'e'","xo242o","NA, 5, 12, 19, 21, 24","x;o;2;4;2;o;",TRUE
"add2","a,:5.2","a",2,0,0,5,"a,ebd_'e'","xo242o","NA, 5, 12, 19, 21, 24","x;o;2;4;2;o;",TRUE
"madd2","a,:m5.2","a",2,0,0,5,"a,ebbe'","xo24oo","NA, 5, 12, 19, 19, 24","x;o;2;4;o;o;",TRUE
"madd4","a,:m5.4","a",2,0,0,5,"a,dac'e'","xoo21o","NA, 5, 10, 17, 20, 24","x;o;o;2;1;o;",TRUE
"mM7","a,:m7+","a",2,0,0,5,"a,eg#c'","xo211x","NA, 5, 12, 16, 20, NA","x;o;2;1;1;x;",TRUE
"mM7","a,:m7+","a",2,0,0,5,"a,ea_c'","xo211x","NA, 5, 12, 16, 20, NA","x;o;2;1;1;x;",TRUE
"7sus2","a,:7sus2","a",2,0,0,5,"a,egbe'","xo2ooo","NA, 5, 12, 15, 19, 24","x;o;2;o;o;o;",TRUE
"7sus4","a,:7sus4","a",2,0,0,5,"a,egd'e'","xo2o3o","NA, 5, 12, 15, 22, 24","x;o;2;o;3;o;",TRUE
"7#11","a,:7.11+","a",2,0,0,5,"a,d#gc#'e'","xo1o2o","NA, 5, 11, 15, 21, 24","x;o;1;o;2;o;",TRUE
"7#11","a,:7.11+","a",2,0,0,5,"a,e_gd_'e'","xo1o2o","NA, 5, 11, 15, 21, 24","x;o;1;o;2;o;",TRUE
"7_13","a,:7_13","a",2,0,0,5,"a,fgc#'e'","xo3o2o","NA, 5, 13, 15, 21, 24","x;o;3;o;2;o;",TRUE
"7_13","a,:7_13","a",2,0,0,5,"a,fgd_'e'","xo3o2o","NA, 5, 13, 15, 21, 24","x;o;3;o;2;o;",TRUE
"M711","a,:maj711","a",2,0,0,5,"a,dg#c#'e'","xoo12o","NA, 5, 10, 16, 21, 24","x;o;o;1;2;o;",TRUE
"M711","a,:maj711","a",2,0,0,5,"a,da_d_'e'","xoo12o","NA, 5, 10, 16, 21, 24","x;o;o;1;2;o;",TRUE
"M7#11","a,:maj7.11+","a",2,0,0,5,"a,d#g#c#'e'","xo112o","NA, 5, 11, 16, 21, 24","x;o;1;1;2;o;",TRUE
"M7#11","a,:maj7.11+","a",2,0,0,5,"a,e_a_d_'e'","xo112o","NA, 5, 11, 16, 21, 24","x;o;1;1;2;o;",TRUE
"M713","a,:maj713","a",2,0,0,5,"a,f#g#c#'e'","xo412o","NA, 5, 14, 16, 21, 24","x;o;4;1;2;o;",TRUE
"M713","a,:maj713","a",2,0,0,5,"a,g_a_d_'e'","xo412o","NA, 5, 14, 16, 21, 24","x;o;4;1;2;o;",TRUE
"11","a,:11","a",2,0,0,5,"a,dgbe'","xooooo","NA, 5, 10, 15, 19, 24","x;o;o;o;o;o;",TRUE
"11","a,:11","a",2,0,0,5,"a,dgc#'e'","xooo2o","NA, 5, 10, 15, 21, 24","x;o;o;o;2;o;",TRUE
"11","a,:11","a",2,0,0,5,"a,egd#'e'","xo2o4o","NA, 5, 12, 15, 23, 24","x;o;2;o;4;o;",TRUE
"11","a,:11","a",2,0,0,5,"a,dgd_'e'","xooo2o","NA, 5, 10, 15, 21, 24","x;o;o;o;2;o;",TRUE
"11","a,:11","a",2,0,0,5,"a,ege_'e'","xo2o4o","NA, 5, 12, 15, 23, 24","x;o;2;o;4;o;",TRUE
"m11","a,:m11","a",2,0,0,5,"a,dgc'e'","xooo1o","NA, 5, 10, 15, 20, 24","x;o;o;o;1;o;",TRUE
"M13","a,:maj13","a",2,0,0,5,"a,g#c#'f#'","xox122","NA, 5, NA, 16, 21, 26","x;o;x;1;2;2;",TRUE
"M13","a,:maj13","a",2,0,0,5,"a,a_d_'g_'","xox122","NA, 5, NA, 16, 21, 26","x;o;x;1;2;2;",TRUE
"m13","a,:m13","a",2,0,0,5,"a,egc'f#'","xo2o12","NA, 5, 12, 15, 20, 26","x;o;2;o;1;2;",TRUE
"m13","a,:m13","a",2,0,0,5,"a,egc'g_'","xo2o12","NA, 5, 12, 15, 20, 26","x;o;2;o;1;2;",TRUE
"M","a,:5","a",2,5,5,6,"a,eac#'e'a'","577655","5, 12, 17, 21, 24, 29","5;7;7;6;5;5;",FALSE
"M","a,:5","a",2,5,5,6,"a,ead_'e'a'","577655","5, 12, 17, 21, 24, 29","5;7;7;6;5;5;",FALSE
"M","a,:5","a",2,5,2,6,"a,c#eac#'a'","542225","5, 9, 12, 17, 21, 29","5;4;2;2;2;5;",FALSE
"M","a,:5","a",2,5,2,6,"a,d_ead_'a'","542225","5, 9, 12, 17, 21, 29","5;4;2;2;2;5;",FALSE
"m","a,:m","a",2,5,5,6,"a,eac'e'a'","577555","5, 12, 17, 20, 24, 29","5;7;7;5;5;5;",FALSE
"m","a,:m","a",2,5,2,6,"a,cea","5322xx","5, 8, 12, 17, NA, NA","5;3;2;2;x;x;",FALSE
"7","a,:7","a",2,5,5,6,"a,egc#'e'a'","575655","5, 12, 15, 21, 24, 29","5;7;5;6;5;5;",FALSE
"7","a,:7","a",2,5,5,6,"a,egd_'e'a'","575655","5, 12, 15, 21, 24, 29","5;7;5;6;5;5;",FALSE
"7","a,:7","a",2,5,5,6,"a,gc#'e'","5x565x","5, NA, 15, 21, 24, NA","5;x;5;6;5;x;",FALSE
"7","a,:7","a",2,5,5,6,"a,gd_'e'","5x565x","5, NA, 15, 21, 24, NA","5;x;5;6;5;x;",FALSE
"M7","a,:maj7","a",2,5,5,6,"a,g#c#'e'","5x665x","5, NA, 16, 21, 24, NA","5;x;6;6;5;x;",FALSE
"M7","a,:maj7","a",2,5,5,6,"a,a_d_'e'","5x665x","5, NA, 16, 21, 24, NA","5;x;6;6;5;x;",FALSE
"M7","a,:maj7","a",2,5,2,6,"a,eac#'g#'","5x2224","5, NA, 12, 17, 21, 28","5;x;2;2;2;4;",FALSE
"M7","a,:maj7","a",2,5,5,6,"a,eg#c#'e'a'","576655","5, 12, 16, 21, 24, 29","5;7;6;6;5;5;",FALSE
"M7","a,:maj7","a",2,5,2,6,"a,ead_'a_'","5x2224","5, NA, 12, 17, 21, 28","5;x;2;2;2;4;",FALSE
"M7","a,:maj7","a",2,5,5,6,"a,ea_d_'e'a'","576655","5, 12, 16, 21, 24, 29","5;7;6;6;5;5;",FALSE
"m7","a,:m7","a",2,5,5,6,"a,egc'e'a'","575555","5, 12, 15, 20, 24, 29","5;7;5;5;5;5;",FALSE
"m7","a,:m7","a",2,5,5,6,"a,gc'e'a'","5x5555","5, NA, 15, 20, 24, 29","5;x;5;5;5;5;",FALSE
"sus2","a,:sus2","a",2,5,2,6,"a,b,ea","5222xx","5, 7, 12, 17, NA, NA","5;2;2;2;x;x;",FALSE
"sus4","a,:sus4","a",2,5,5,6,"a,ead'e'a'","577755","5, 12, 17, 22, 24, 29","5;7;7;7;5;5;",FALSE
"aug7","a,:aug7","a",2,5,5,6,"a,gc#'f'","5x566x","5, NA, 15, 21, 25, NA","5;x;5;6;6;x;",FALSE
"aug7","a,:aug7","a",2,5,5,6,"a,gd_'f'","5x566x","5, NA, 15, 21, 25, NA","5;x;5;6;6;x;",FALSE
"dim7","a,:dim7","a",2,5,4,6,"a,f#c'd#'","5x454x","5, NA, 14, 20, 23, NA","5;x;4;5;4;x;",FALSE
"dim7","a,:dim7","a",2,5,4,6,"a,g_c'e_'","5x454x","5, NA, 14, 20, 23, NA","5;x;4;5;4;x;",FALSE
"7_5","a,:7_5","a",2,5,4,6,"a,gc#'d#'","5x564x","5, NA, 15, 21, 23, NA","5;x;5;6;4;x;",FALSE
"7_5","a,:7_5","a",2,5,4,6,"a,gd_'e_'","5x564x","5, NA, 15, 21, 23, NA","5;x;5;6;4;x;",FALSE
"7#5","a,:7.5+","a",2,5,5,6,"a,gc#'f'","5x566x","5, NA, 15, 21, 25, NA","5;x;5;6;6;x;",FALSE
"7#5","a,:7.5+","a",2,5,5,6,"a,gd_'f'","5x566x","5, NA, 15, 21, 25, NA","5;x;5;6;6;x;",FALSE
"M7_5","a,:maj7_5","a",2,5,4,6,"a,g#c#'d#'","5x664x","5, NA, 16, 21, 23, NA","5;x;6;6;4;x;",FALSE
"M7_5","a,:maj7_5","a",2,5,4,6,"a,a_d_'e_'","5x664x","5, NA, 16, 21, 23, NA","5;x;6;6;4;x;",FALSE
"M7#5","a,:maj7.5+","a",2,5,5,6,"a,ad'f#'","5x777x","5, NA, 17, 22, 26, NA","5;x;7;7;7;x;",FALSE
"M7#5","a,:maj7.5+","a",2,5,5,6,"a,ad'g_'","5x777x","5, NA, 17, 22, 26, NA","5;x;7;7;7;x;",FALSE
"m7_5","a,:m7_5","a",2,5,4,6,"a,gc'd#'","5x554x","5, NA, 15, 20, 23, NA","5;x;5;5;4;x;",FALSE
"m7_5","a,:m7_5","a",2,5,4,6,"a,gc'e_'","5x554x","5, NA, 15, 20, 23, NA","5;x;5;5;4;x;",FALSE
"m7#5","a,:m7.5+","a",2,5,5,6,"a,gc'f'","5x556x","5, NA, 15, 20, 25, NA","5;x;5;5;6;x;",FALSE
"9","a,:9","a",2,5,3,6,"a,fc'd#'g'","5x3543","5, NA, 13, 20, 23, 27","5;x;3;5;4;3;",FALSE
"9","a,:9","a",2,5,5,6,"a,egc#'e'b'","575657","5, 12, 15, 21, 24, 31","5;7;5;6;5;7;",FALSE
"9","a,:9","a",2,5,3,6,"a,fc'e_'g'","5x3543","5, NA, 13, 20, 23, 27","5;x;3;5;4;3;",FALSE
"9","a,:9","a",2,5,5,6,"a,egd_'e'b'","575657","5, 12, 15, 21, 24, 31","5;7;5;6;5;7;",FALSE
"M9","a,:maj9","a",2,5,3,6,"a,fc'e'g'","5x3553","5, NA, 13, 20, 24, 27","5;x;3;5;5;3;",FALSE
"M9","a,:maj9","a",2,5,5,6,"a,g#c#'e'b'","5x6657","5, NA, 16, 21, 24, 31","5;x;6;6;5;7;",FALSE
"M9","a,:maj9","a",2,5,5,6,"a,a_d_'e'b'","5x6657","5, NA, 16, 21, 24, 31","5;x;6;6;5;7;",FALSE
"m9","a,:m9","a",2,5,4,6,"a,f#c#'e'g#'","5x4654","5, NA, 14, 21, 24, 28","5;x;4;6;5;4;",FALSE
"m9","a,:m9","a",2,5,5,6,"a,egc'e'b'","575557","5, 12, 15, 20, 24, 31","5;7;5;5;5;7;",FALSE
"m9","a,:m9","a",2,5,4,6,"a,g_d_'e'a_'","5x4654","5, NA, 14, 21, 24, 28","5;x;4;6;5;4;",FALSE
"add9","a,:5.9","a",2,5,5,6,"a,ebc#'e'a'","579655","5, 12, 19, 21, 24, 29","5;7;9;6;5;5;",FALSE
"add9","a,:5.9","a",2,5,5,6,"a,ebd_'e'a'","579655","5, 12, 19, 21, 24, 29","5;7;9;6;5;5;",FALSE
"9sus4","a,:9sus4","a",2,5,5,6,"a,egd'e'b'","575757","5, 12, 15, 22, 24, 31","5;7;5;7;5;7;",FALSE
"9#5","a,:9.5+","a",2,5,5,6,"a,gc#'f'b'","5x5667","5, NA, 15, 21, 25, 31","5;x;5;6;6;7;",FALSE
"9#5","a,:9.5+","a",2,5,5,6,"a,gd_'f'b'","5x5667","5, NA, 15, 21, 25, 31","5;x;5;6;6;7;",FALSE
"6","a,:6","a",2,5,4,6,"a,f#c#'e'","5x465x","5, NA, 14, 21, 24, NA","5;x;4;6;5;x;",FALSE
"6","a,:6","a",2,5,4,6,"a,g_d_'e'","5x465x","5, NA, 14, 21, 24, NA","5;x;4;6;5;x;",FALSE
"m6","a,:m6","a",2,5,4,6,"a,f#c'e'","5x455x","5, NA, 14, 20, 24, NA","5;x;4;5;5;x;",FALSE
"m6","a,:m6","a",2,5,4,6,"a,g_c'e'","5x455x","5, NA, 14, 20, 24, NA","5;x;4;5;5;x;",FALSE
"m_6","a,:m_6","a",2,5,3,6,"a,fc'e'","5x355x","5, NA, 13, 20, 24, NA","5;x;3;5;5;x;",FALSE
"6add9","a,:6.9","a",2,5,3,6,"a,fc'd'g'","5x3533","5, NA, 13, 20, 22, 27","5;x;3;5;3;3;",FALSE
"6add9","a,:6.9","a",2,5,4,6,"a,c#f#be'a'","544455","5, 9, 14, 19, 24, 29","5;4;4;4;5;5;",FALSE
"6add9","a,:6.9","a",2,5,4,6,"a,d_g_be'a'","544455","5, 9, 14, 19, 24, 29","5;4;4;4;5;5;",FALSE
"m6add9","a,:m6.9","a",2,5,3,6,"a,cf#b","5344xx","5, 8, 14, 19, NA, NA","5;3;4;4;x;x;",FALSE
"m6add9","a,:m6.9","a",2,5,3,6,"a,cg_b","5344xx","5, 8, 14, 19, NA, NA","5;3;4;4;x;x;",FALSE
"add2","a,:5.2","a",2,5,5,6,"a,ebc#'e'a'","579655","5, 12, 19, 21, 24, 29","5;7;9;6;5;5;",FALSE
"add2","a,:5.2","a",2,5,5,6,"a,ebd_'e'a'","579655","5, 12, 19, 21, 24, 29","5;7;9;6;5;5;",FALSE
"madd2","a,:m5.2","a",2,5,5,6,"a,ebc'e'a'","579555","5, 12, 19, 20, 24, 29","5;7;9;5;5;5;",FALSE
"madd2","a,:m5.2","a",2,5,5,6,"a,eac'e'b'","577557","5, 12, 17, 20, 24, 31","5;7;7;5;5;7;",FALSE
"madd4","a,:m5.4","a",2,5,5,6,"a,dac'e'a'","557555","5, 10, 17, 20, 24, 29","5;5;7;5;5;5;",FALSE
"mM7","a,:m7+","a",2,5,5,6,"a,g#c'e'","5x655x","5, NA, 16, 20, 24, NA","5;x;6;5;5;x;",FALSE
"mM7","a,:m7+","a",2,5,5,6,"a,a_c'e'","5x655x","5, NA, 16, 20, 24, NA","5;x;6;5;5;x;",FALSE
"7sus2","a,:7sus2","a",2,5,4,6,"a,gbe'","5x545x","5, NA, 15, 19, 24, NA","5;x;5;4;5;x;",FALSE
"7sus4","a,:7sus4","a",2,5,5,6,"a,egd'e'a'","575755","5, 12, 15, 22, 24, 29","5;7;5;7;5;5;",FALSE
"7_9","a,:7_9","a",2,5,5,6,"a,gc#'e'a#'","5x5656","5, NA, 15, 21, 24, 30","5;x;5;6;5;6;",FALSE
"7_9","a,:7_9","a",2,5,5,6,"a,gd_'e'b_'","5x5656","5, NA, 15, 21, 24, 30","5;x;5;6;5;6;",FALSE
"m7_9","a,:m7_9","a",2,5,5,6,"a,gc'e'b'","5x5557","5, NA, 15, 20, 24, 31","5;x;5;5;5;7;",FALSE
"7_9_5","a,:7_9_5","a",2,5,4,6,"a,gc#'d#'a#'","5x5646","5, NA, 15, 21, 23, 30","5;x;5;6;4;6;",FALSE
"7_9_5","a,:7_9_5","a",2,5,4,6,"a,gd_'e_'b_'","5x5646","5, NA, 15, 21, 23, 30","5;x;5;6;4;6;",FALSE
"7_9#5","a,:7_9.5+","a",2,5,5,6,"a,gc#'f'a#'","5x5666","5, NA, 15, 21, 25, 30","5;x;5;6;6;6;",FALSE
"7_9#5","a,:7_9.5+","a",2,5,5,6,"a,gd_'f'b_'","5x5666","5, NA, 15, 21, 25, 30","5;x;5;6;6;6;",FALSE
"7#9_13","a,:7.9+_13","a",2,5,4,6,"a,c#gc'f'","54556x","5, 9, 15, 20, 25, NA","5;4;5;5;6;x;",FALSE
"7#9_13","a,:7.9+_13","a",2,5,4,6,"a,d_gc'f'","54556x","5, 9, 15, 20, 25, NA","5;4;5;5;6;x;",FALSE
"7_13","a,:7_13","a",2,5,5,6,"a,fgc#'e'a'","585655","5, 13, 15, 21, 24, 29","5;8;5;6;5;5;",FALSE
"7_13","a,:7_13","a",2,5,5,6,"a,egc#'f'a'","575665","5, 12, 15, 21, 25, 29","5;7;5;6;6;5;",FALSE
"7_13","a,:7_13","a",2,5,5,6,"a,fgd_'e'a'","585655","5, 13, 15, 21, 24, 29","5;8;5;6;5;5;",FALSE
"7_13","a,:7_13","a",2,5,5,6,"a,egd_'f'a'","575665","5, 12, 15, 21, 25, 29","5;7;5;6;6;5;",FALSE
"M7#5#11","a,:maj7.5+.11+","a",2,5,5,6,"a,d#g#c#'f'","56666x","5, 11, 16, 21, 25, NA","5;6;6;6;6;x;",FALSE
"M7#5#11","a,:maj7.5+.11+","a",2,5,5,6,"a,e_a_d_'f'","56666x","5, 11, 16, 21, 25, NA","5;6;6;6;6;x;",FALSE
"M711","a,:maj711","a",2,5,5,6,"a,dg#c#'e'a'","556655","5, 10, 16, 21, 24, 29","5;5;6;6;5;5;",FALSE
"M711","a,:maj711","a",2,5,5,6,"a,da_d_'e'a'","556655","5, 10, 16, 21, 24, 29","5;5;6;6;5;5;",FALSE
"M7#11","a,:maj7.11+","a",2,5,4,6,"a,eg#c#'d#'","57664x","5, 12, 16, 21, 23, NA","5;7;6;6;4;x;",FALSE
"M7#11","a,:maj7.11+","a",2,5,5,6,"a,d#g#c#'e'","56665x","5, 11, 16, 21, 24, NA","5;6;6;6;5;x;",FALSE
"M7#11","a,:maj7.11+","a",2,5,4,6,"a,ea_d_'e_'","57664x","5, 12, 16, 21, 23, NA","5;7;6;6;4;x;",FALSE
"M7#11","a,:maj7.11+","a",2,5,5,6,"a,e_a_d_'e'","56665x","5, 11, 16, 21, 24, NA","5;6;6;6;5;x;",FALSE
"M713","a,:maj713","a",2,5,5,6,"a,g#c#'f#'a'","5x6675","5, NA, 16, 21, 26, 29","5;x;6;6;7;5;",FALSE
"M713","a,:maj713","a",2,5,5,6,"a,a_d_'g_'a'","5x6675","5, NA, 16, 21, 26, 29","5;x;6;6;7;5;",FALSE
"M7913","a,:maj7913","a",2,5,5,6,"a,g#c#'f#'b'","5x6677","5, NA, 16, 21, 26, 31","5;x;6;6;7;7;",FALSE
"M7913","a,:maj7913","a",2,5,5,6,"a,a_d_'g_'b'","5x6677","5, NA, 16, 21, 26, 31","5;x;6;6;7;7;",FALSE
"9#11","a,:9.11+","a",2,5,4,6,"a,c#gbd#'","54544x","5, 9, 15, 19, 23, NA","5;4;5;4;4;x;",FALSE
"9#11","a,:9.11+","a",2,5,4,6,"a,d_gbe_'","54544x","5, 9, 15, 19, 23, NA","5;4;5;4;4;x;",FALSE
"11","a,:11","a",2,5,3,6,"a,gbd'","5x543x","5, NA, 15, 19, 22, NA","5;x;5;4;3;x;",FALSE
"11","a,:11","a",2,5,3,6,"a,gc#'d'","5x563x","5, NA, 15, 21, 22, NA","5;x;5;6;3;x;",FALSE
"11","a,:11","a",2,5,4,6,"a,c#gd'","5457xx","5, 9, 15, 22, NA, NA","5;4;5;7;x;x;",FALSE
"11","a,:11","a",2,5,3,6,"a,gd_'d'","5x563x","5, NA, 15, 21, 22, NA","5;x;5;6;3;x;",FALSE
"11","a,:11","a",2,5,4,6,"a,d_gd'","5457xx","5, 9, 15, 22, NA, NA","5;4;5;7;x;x;",FALSE
"M11","a,:maj11","a",2,5,5,6,"a,dg#d'e'b'","556757","5, 10, 16, 22, 24, 31","5;5;6;7;5;7;",FALSE
"M11","a,:maj11","a",2,5,5,6,"a,da_d'e'b'","556757","5, 10, 16, 22, 24, 31","5;5;6;7;5;7;",FALSE
"m11","a,:m11","a",2,5,2,6,"a,ebd'","5x243x","5, NA, 12, 19, 22, NA","5;x;2;4;3;x;",FALSE
"m11","a,:m11","a",2,5,3,6,"a,gc'd'g'","5x5533","5, NA, 15, 20, 22, 27","5;x;5;5;3;3;",FALSE
"m11","a,:m11","a",2,5,3,6,"a,gc'd'","5x553x","5, NA, 15, 20, 22, NA","5;x;5;5;3;x;",FALSE
"13","a,:13","a",2,5,5,6,"a,egc#'f#'a'","575675","5, 12, 15, 21, 26, 29","5;7;5;6;7;5;",FALSE
"13","a,:13","a",2,5,5,6,"a,gc#'f#'b'","5x5677","5, NA, 15, 21, 26, 31","5;x;5;6;7;7;",FALSE
"13","a,:13","a",2,5,5,6,"a,egd_'g_'a'","575675","5, 12, 15, 21, 26, 29","5;7;5;6;7;5;",FALSE
"13","a,:13","a",2,5,5,6,"a,gd_'g_'b'","5x5677","5, NA, 15, 21, 26, 31","5;x;5;6;7;7;",FALSE
"M13","a,:maj13","a",2,5,2,6,"a,g#bc#'f#'","5x6422","5, NA, 16, 19, 21, 26","5;x;6;4;2;2;",FALSE
"M13","a,:maj13","a",2,5,4,6,"a,c#f#be'g#'","544454","5, 9, 14, 19, 24, 28","5;4;4;4;5;4;",FALSE
"M13","a,:maj13","a",2,5,5,6,"a,g#c#'f#'b'","5x6677","5, NA, 16, 21, 26, 31","5;x;6;6;7;7;",FALSE
"M13","a,:maj13","a",2,5,2,6,"a,a_bd_'g_'","5x6422","5, NA, 16, 19, 21, 26","5;x;6;4;2;2;",FALSE
"M13","a,:maj13","a",2,5,4,6,"a,d_g_be'a_'","544454","5, 9, 14, 19, 24, 28","5;4;4;4;5;4;",FALSE
"M13","a,:maj13","a",2,5,5,6,"a,a_d_'g_'b'","5x6677","5, NA, 16, 21, 26, 31","5;x;6;6;7;7;",FALSE
"m13","a,:m13","a",2,5,5,6,"a,egc'f#'a'","575575","5, 12, 15, 20, 26, 29","5;7;5;5;7;5;",FALSE
"m13","a,:m13","a",2,5,5,6,"a,egc'f#'b'","575577","5, 12, 15, 20, 26, 31","5;7;5;5;7;7;",FALSE
"m13","a,:m13","a",2,5,5,6,"a,egc'g_'a'","575575","5, 12, 15, 20, 26, 29","5;7;5;5;7;5;",FALSE
"m13","a,:m13","a",2,5,5,6,"a,egc'g_'b'","575577","5, 12, 15, 20, 26, 31","5;7;5;5;7;7;",FALSE
"13sus4","a,:13sus4","a",2,5,5,6,"a,egd'f#'a'","575775","5, 12, 15, 22, 26, 29","5;7;5;7;7;5;",FALSE
"13sus4","a,:13sus4","a",2,5,5,6,"a,egd'g_'a'","575775","5, 12, 15, 22, 26, 29","5;7;5;7;7;5;",FALSE
"13_5","a,:13_5","a",2,5,5,6,"a,d#gc#'f#'a'","565675","5, 11, 15, 21, 26, 29","5;6;5;6;7;5;",FALSE
"13_5","a,:13_5","a",2,5,5,6,"a,e_gd_'g_'a'","565675","5, 11, 15, 21, 26, 29","5;6;5;6;7;5;",FALSE
"13#5","a,:13.5+","a",2,5,5,6,"a,fgc#'f#'a'","585675","5, 13, 15, 21, 26, 29","5;8;5;6;7;5;",FALSE
"13#5","a,:13.5+","a",2,5,5,6,"a,fgd_'g_'a'","585675","5, 13, 15, 21, 26, 29","5;8;5;6;7;5;",FALSE
"13#11","a,:13.11+","a",2,5,5,6,"a,d#gc#'f#'a'","565675","5, 11, 15, 21, 26, 29","5;6;5;6;7;5;",FALSE
"13#11","a,:13.11+","a",2,5,5,6,"a,e_gd_'g_'a'","565675","5, 11, 15, 21, 26, 29","5;6;5;6;7;5;",FALSE
"M","a:5","a",3,7,7,4,"ae'a'c#''","xx79(10)9","NA, NA, 17, 24, 29, 33","x;x;7;9;10;9;",FALSE
"M","a:5","a",3,7,7,4,"ae'a'd_''","xx79(10)9","NA, NA, 17, 24, 29, 33","x;x;7;9;10;9;",FALSE
"m","a:m","a",3,7,7,4,"ae'a'c''","xx79(10)8","NA, NA, 17, 24, 29, 32","x;x;7;9;10;8;",FALSE
"7","a:7","a",3,7,5,4,"ac#'g'a'","xx7685","NA, NA, 17, 21, 27, 29","x;x;7;6;8;5;",FALSE
"7","a:7","a",3,7,7,4,"ae'g'c#''","xx7989","NA, NA, 17, 24, 27, 33","x;x;7;9;8;9;",FALSE
"7","a:7","a",3,7,5,4,"ad_'g'a'","xx7685","NA, NA, 17, 21, 27, 29","x;x;7;6;8;5;",FALSE
"7","a:7","a",3,7,7,4,"ae'g'd_''","xx7989","NA, NA, 17, 24, 27, 33","x;x;7;9;8;9;",FALSE
"M7","a:maj7","a",3,7,4,4,"ac#'e'g#'","xx7654","NA, NA, 17, 21, 24, 28","x;x;7;6;5;4;",FALSE
